meanmax.size,meanmean.size,alone,model
2.26666666666667,1.48333333333333,37,equal
1.86666666666667,1.35222222222222,43,equal
2.2,1.38111111111111,44,equal
2.06666666666667,1.36507936507937,46,equal
2.06666666666667,1.36222222222222,46,equal
1.93333333333333,1.31222222222222,47,equal
1.8,1.34666666666667,41,equal
1.93333333333333,1.35666666666667,43,equal
2.13333333333333,1.36666666666667,49,equal
1.8,1.22952380952381,56,equal
1.93333333333333,1.31888888888889,44,equal
1.86666666666667,1.36333333333333,40,equal
2.13333333333333,1.33111111111111,47,equal
2,1.32222222222222,48,equal
2.33333333333333,1.54444444444444,32,equal
2,1.39888888888889,40,equal
2.2,1.47444444444444,38,equal
2.4,1.62666666666667,29,equal
2.4,1.57777777777778,36,equal
2.2,1.30111111111111,52,equal
2.33333333333333,1.52,35,equal
2.13333333333333,1.44777777777778,38,equal
2,1.31555555555556,46,equal
2.2,1.55,32,equal
2.13333333333333,1.35777777777778,46,equal
1.93333333333333,1.29111111111111,47,equal
2.53333333333333,1.55,40,equal
2,1.32777777777778,45,equal
1.73333333333333,1.29888888888889,49,equal
2.26666666666667,1.54666666666667,33,equal
1.8,1.32333333333333,46,equal
1.8,1.37333333333333,43,equal
2.26666666666667,1.45666666666667,40,equal
2.2,1.45,38,equal
1.86666666666667,1.40333333333333,41,equal
2.06666666666667,1.40222222222222,41,equal
2.33333333333333,1.48555555555556,41,equal
2,1.42888888888889,40,equal
2.06666666666667,1.42333333333333,39,equal
2.26666666666667,1.54666666666667,31,equal
2,1.37507936507937,42,equal
2.13333333333333,1.45666666666667,35,equal
2,1.44285714285714,42,equal
1.86666666666667,1.23,54,equal
2,1.39222222222222,43,equal
2.26666666666667,1.39444444444444,48,equal
2,1.38222222222222,41,equal
2.06666666666667,1.38,44,equal
2.13333333333333,1.48333333333333,38,equal
2.53333333333333,1.61555555555556,36,equal
2.13333333333333,1.33888888888889,47,equal
2.06666666666667,1.41444444444444,41,equal
2,1.30777777777778,45,equal
1.93333333333333,1.31555555555556,48,equal
2.26666666666667,1.51,36,equal
1.86666666666667,1.31333333333333,47,equal
2.2,1.42222222222222,38,equal
2.26666666666667,1.41777777777778,43,equal
1.73333333333333,1.38333333333333,46,equal
2,1.36888888888889,41,equal
2,1.40444444444444,40,equal
2,1.34777777777778,47,equal
2.33333333333333,1.51888888888889,38,equal
2.06666666666667,1.39222222222222,40,equal
2.26666666666667,1.44888888888889,39,equal
1.86666666666667,1.31888888888889,45,equal
2.06666666666667,1.30777777777778,50,equal
2.13333333333333,1.41777777777778,42,equal
2.2,1.45222222222222,38,equal
2,1.37888888888889,45,equal
2,1.34111111111111,45,equal
2.2,1.50222222222222,35,equal
2.2,1.39111111111111,45,equal
1.93333333333333,1.27555555555556,54,equal
2,1.46444444444444,41,equal
1.93333333333333,1.33555555555556,46,equal
1.86666666666667,1.31555555555556,46,equal
1.93333333333333,1.39,38,equal
2.06666666666667,1.34333333333333,45,equal
2.2,1.46555555555556,40,equal
2.2,1.31222222222222,50,equal
2.2,1.42555555555556,42,equal
2.2,1.40222222222222,45,equal
2.33333333333333,1.34,49,equal
1.93333333333333,1.27555555555556,55,equal
2,1.37555555555556,42,equal
2.06666666666667,1.38730158730159,44,equal
2.13333333333333,1.47333333333333,36,equal
1.93333333333333,1.34,43,equal
2.13333333333333,1.44555555555556,38,equal
1.86666666666667,1.35,45,equal
2.13333333333333,1.41444444444444,43,equal
2.06666666666667,1.32444444444444,47,equal
2.2,1.41777777777778,44,equal
1.86666666666667,1.26888888888889,52,equal
2.26666666666667,1.37111111111111,45,equal
2.13333333333333,1.41444444444444,43,equal
1.93333333333333,1.33111111111111,46,equal
2.26666666666667,1.48222222222222,35,equal
1.93333333333333,1.37888888888889,43,equal
1.93333333333333,1.36333333333333,42,equal
2.2,1.46777777777778,40,equal
2.2,1.42111111111111,40,equal
2.13333333333333,1.39,41,equal
2.26666666666667,1.57555555555556,32,equal
2.33333333333333,1.39333333333333,44,equal
1.86666666666667,1.39888888888889,39,equal
2.06666666666667,1.35888888888889,45,equal
2.2,1.36111111111111,45,equal
2.13333333333333,1.35952380952381,45,equal
2.06666666666667,1.35666666666667,49,equal
2.13333333333333,1.38444444444444,42,equal
2.06666666666667,1.35222222222222,45,equal
1.86666666666667,1.28666666666667,48,equal
2.26666666666667,1.47555555555556,39,equal
2.26666666666667,1.47777777777778,43,equal
2,1.38666666666667,42,equal
1.93333333333333,1.39888888888889,42,equal
2.06666666666667,1.33,47,equal
1.73333333333333,1.22,56,equal
1.93333333333333,1.35888888888889,45,equal
1.93333333333333,1.45777777777778,33,equal
2.13333333333333,1.38222222222222,43,equal
2,1.39111111111111,42,equal
2.06666666666667,1.37444444444444,46,equal
2,1.31777777777778,48,equal
1.8,1.28111111111111,51,equal
2.46666666666667,1.45777777777778,40,equal
2.26666666666667,1.57888888888889,35,equal
2.26666666666667,1.51888888888889,39,equal
2.2,1.50888888888889,36,equal
2,1.34888888888889,45,equal
2.26666666666667,1.53333333333333,36,equal
2.06666666666667,1.35777777777778,42,equal
2.13333333333333,1.32555555555556,47,equal
2.13333333333333,1.32666666666667,48,equal
1.86666666666667,1.35111111111111,41,equal
2.2,1.41,42,equal
1.86666666666667,1.38555555555556,41,equal
2.13333333333333,1.36555555555556,45,equal
2.06666666666667,1.34888888888889,44,equal
2.13333333333333,1.43666666666667,42,equal
1.8,1.27,51,equal
2.13333333333333,1.48,33,equal
1.86666666666667,1.27777777777778,51,equal
2.13333333333333,1.38,41,equal
2.13333333333333,1.37444444444444,41,equal
2.13333333333333,1.42555555555556,40,equal
2.06666666666667,1.38444444444444,41,equal
2.46666666666667,1.55666666666667,39,equal
1.8,1.30444444444444,49,equal
2.2,1.39444444444444,42,equal
2.06666666666667,1.36444444444444,43,equal
2.13333333333333,1.36888888888889,44,equal
1.73333333333333,1.30333333333333,48,equal
2.13333333333333,1.43444444444444,40,equal
2.4,1.65730158730159,35,equal
2,1.33555555555556,48,equal
2.13333333333333,1.30888888888889,49,equal
2,1.35111111111111,48,equal
2,1.31333333333333,49,equal
2.13333333333333,1.42888888888889,39,equal
2.2,1.39666666666667,45,equal
2,1.35555555555556,44,equal
2.06666666666667,1.37444444444444,43,equal
1.93333333333333,1.38333333333333,42,equal
1.86666666666667,1.28111111111111,48,equal
2.4,1.42666666666667,43,equal
2.26666666666667,1.54507936507937,38,equal
2,1.38111111111111,40,equal
1.93333333333333,1.37444444444444,48,equal
2.13333333333333,1.48777777777778,41,equal
2,1.37666666666667,43,equal
1.93333333333333,1.32888888888889,46,equal
2.4,1.57444444444444,31,equal
2.2,1.37555555555556,47,equal
2,1.42888888888889,39,equal
2.06666666666667,1.43555555555556,38,equal
2.26666666666667,1.45111111111111,42,equal
2.06666666666667,1.36666666666667,42,equal
2,1.37,46,equal
2.13333333333333,1.36444444444444,47,equal
2.4,1.50666666666667,37,equal
1.86666666666667,1.34555555555556,42,equal
2.26666666666667,1.40222222222222,41,equal
2.06666666666667,1.32555555555556,47,equal
1.93333333333333,1.40666666666667,49,equal
2,1.30666666666667,49,equal
2.33333333333333,1.44666666666667,44,equal
2.13333333333333,1.35444444444444,46,equal
2,1.30507936507937,49,equal
2.26666666666667,1.49222222222222,39,equal
2.26666666666667,1.50333333333333,37,equal
2.06666666666667,1.44444444444444,40,equal
2.06666666666667,1.35174603174603,44,equal
2.33333333333333,1.42,42,equal
2.06666666666667,1.42222222222222,41,equal
2.06666666666667,1.37444444444444,44,equal
1.86666666666667,1.34,44,equal
2.26666666666667,1.53444444444444,31,equal
2.06666666666667,1.43444444444444,43,equal
2,1.31888888888889,48,equal
1.93333333333333,1.29555555555556,51,equal
2,1.34174603174603,45,equal
2.13333333333333,1.45666666666667,38,equal
2.2,1.36666666666667,44,equal
2.06666666666667,1.36888888888889,43,equal
2.13333333333333,1.46,42,equal
2.33333333333333,1.58444444444444,33,equal
1.73333333333333,1.20777777777778,56,equal
2.13333333333333,1.39111111111111,41,equal
2.06666666666667,1.41111111111111,42,equal
2,1.31888888888889,49,equal
2.06666666666667,1.35555555555556,45,equal
2.13333333333333,1.48666666666667,33,equal
2.33333333333333,1.37777777777778,47,equal
2,1.37666666666667,42,equal
2.26666666666667,1.37444444444444,45,equal
2.13333333333333,1.46,37,equal
2.26666666666667,1.55333333333333,32,equal
2.2,1.42,42,equal
2.06666666666667,1.33777777777778,47,equal
2.2,1.46555555555556,41,equal
1.93333333333333,1.33444444444444,46,equal
2.2,1.42,41,equal
1.8,1.24,54,equal
2.26666666666667,1.44,39,equal
2.06666666666667,1.4,43,equal
2.06666666666667,1.35888888888889,42,equal
2.26666666666667,1.46888888888889,37,equal
2,1.42333333333333,42,equal
2.06666666666667,1.41555555555556,39,equal
2.26666666666667,1.47444444444444,41,equal
2.33333333333333,1.43444444444444,40,equal
2.06666666666667,1.44,36,equal
2.13333333333333,1.35333333333333,45,equal
2.4,1.45666666666667,41,equal
2.2,1.45777777777778,38,equal
2.06666666666667,1.47444444444444,35,equal
2.13333333333333,1.38777777777778,42,equal
2,1.35333333333333,48,equal
2.26666666666667,1.44333333333333,43,equal
1.86666666666667,1.34777777777778,42,equal
1.86666666666667,1.31111111111111,47,equal
2.13333333333333,1.42777777777778,37,equal
2.33333333333333,1.37777777777778,44,equal
2.13333333333333,1.36333333333333,43,equal
2.26666666666667,1.45777777777778,42,equal
2.2,1.43888888888889,41,equal
2.26666666666667,1.47444444444444,40,equal
2.13333333333333,1.41777777777778,40,equal
2.2,1.50888888888889,38,equal
2.26666666666667,1.36444444444444,46,equal
2.13333333333333,1.33222222222222,48,equal
2.13333333333333,1.37444444444444,41,equal
2.2,1.36222222222222,47,equal
2.13333333333333,1.38222222222222,41,equal
1.86666666666667,1.26333333333333,52,equal
2.46666666666667,1.48555555555556,41,equal
2.33333333333333,1.49,36,equal
2.06666666666667,1.40111111111111,42,equal
2.2,1.34777777777778,48,equal
1.8,1.36,45,equal
2.26666666666667,1.40222222222222,43,equal
1.86666666666667,1.30777777777778,48,equal
2.13333333333333,1.36666666666667,43,equal
1.93333333333333,1.39444444444444,43,equal
2.06666666666667,1.32222222222222,47,equal
1.8,1.26222222222222,52,equal
2,1.37777777777778,46,equal
2.26666666666667,1.41111111111111,44,equal
2.2,1.53666666666667,30,equal
2.26666666666667,1.45888888888889,42,equal
2.26666666666667,1.49444444444444,38,equal
1.86666666666667,1.33666666666667,44,equal
2.06666666666667,1.39555555555556,40,equal
2.33333333333333,1.56888888888889,33,equal
1.93333333333333,1.33333333333333,47,equal
1.93333333333333,1.41222222222222,41,equal
2.26666666666667,1.42555555555556,39,equal
2.2,1.46777777777778,36,equal
2.06666666666667,1.36555555555556,47,equal
2.06666666666667,1.44222222222222,42,equal
2.2,1.46555555555556,37,equal
2,1.23333333333333,59,equal
2.46666666666667,1.49777777777778,42,equal
1.93333333333333,1.34444444444444,46,equal
2.13333333333333,1.38444444444444,45,equal
2.06666666666667,1.37222222222222,48,equal
2.2,1.36111111111111,45,equal
