meanmax.size,meanmean.size,alone,model
3.76923076923077,1.97948717948718,33,CRP
3.53846153846154,1.97948717948718,33,CRP
3.38461538461538,2.05860805860806,44,CRP
3.30769230769231,1.78461538461538,37,CRP
2.92307692307692,1.64175824175824,48,CRP
3.46153846153846,1.92967032967033,34,CRP
3.30769230769231,1.73919413919414,40,CRP
3.15384615384615,1.77948717948718,43,CRP
3.23076923076923,1.87692307692308,32,CRP
3.15384615384615,1.75384615384615,34,CRP
3.15384615384615,1.69230769230769,41,CRP
3.23076923076923,2.09230769230769,38,CRP
3,1.77142857142857,38,CRP
2.69230769230769,1.5032967032967,49,CRP
2.69230769230769,1.51575091575092,54,CRP
3.84615384615385,1.77435897435897,40,CRP
3.07692307692308,1.76996336996337,37,CRP
4.30769230769231,2.53919413919414,31,CRP
3.46153846153846,1.72893772893773,44,CRP
3.15384615384615,1.73919413919414,36,CRP
4.07692307692308,2.15970695970696,32,CRP
2.84615384615385,1.62857142857143,51,CRP
2.84615384615385,1.74505494505495,38,CRP
3.30769230769231,1.78461538461538,39,CRP
3.15384615384615,1.77582417582418,38,CRP
3.30769230769231,1.72893772893773,40,CRP
2.92307692307692,1.8007326007326,37,CRP
3.07692307692308,1.7040293040293,44,CRP
3.46153846153846,1.93406593406593,40,CRP
3,1.80512820512821,32,CRP
3.38461538461538,1.87692307692308,34,CRP
3.38461538461538,1.82271062271062,43,CRP
3.46153846153846,1.85201465201465,39,CRP
2.84615384615385,1.65128205128205,37,CRP
3.23076923076923,1.9956043956044,31,CRP
3.46153846153846,1.92820512820513,34,CRP
2.92307692307692,1.4981684981685,53,CRP
4.30769230769231,2.1948717948718,28,CRP
3.30769230769231,1.73919413919414,45,CRP
3.38461538461538,2.26666666666667,31,CRP
2.53846153846154,1.54065934065934,49,CRP
2.76923076923077,1.58021978021978,48,CRP
3.07692307692308,1.77582417582418,40,CRP
3.23076923076923,2.03223443223443,44,CRP
3.38461538461538,1.89304029304029,37,CRP
3,1.69230769230769,39,CRP
3.38461538461538,1.92820512820513,36,CRP
3.23076923076923,1.81098901098901,34,CRP
3.69230769230769,2.18608058608059,32,CRP
4,1.95897435897436,33,CRP
3,1.68791208791209,41,CRP
3.69230769230769,1.8974358974359,34,CRP
3.84615384615385,2.22564102564103,24,CRP
3.15384615384615,1.81245421245421,44,CRP
3.30769230769231,1.81025641025641,41,CRP
3,1.72307692307692,39,CRP
3.53846153846154,1.8007326007326,39,CRP
3.15384615384615,1.72014652014652,45,CRP
3.15384615384615,1.72893772893773,40,CRP
3.46153846153846,1.97948717948718,33,CRP
3.46153846153846,1.87252747252747,35,CRP
3.46153846153846,1.94432234432234,35,CRP
3.46153846153846,1.89304029304029,35,CRP
3.76923076923077,2.22124542124542,28,CRP
2.92307692307692,1.8007326007326,36,CRP
4,2.22124542124542,29,CRP
3,1.63223443223443,41,CRP
3.46153846153846,2.05274725274725,34,CRP
3.38461538461538,1.78608058608059,40,CRP
3.46153846153846,1.84761904761905,39,CRP
3,1.67179487179487,37,CRP
3.76923076923077,2.24615384615385,26,CRP
3.07692307692308,1.81684981684982,39,CRP
3.92307692307692,1.91794871794872,34,CRP
2.84615384615385,1.62197802197802,45,CRP
3.15384615384615,1.8007326007326,34,CRP
3.15384615384615,1.6981684981685,41,CRP
3.23076923076923,1.65860805860806,47,CRP
3.15384615384615,1.88278388278388,35,CRP
3.30769230769231,1.88278388278388,36,CRP
3.69230769230769,2.03076923076923,30,CRP
3.23076923076923,1.83150183150183,34,CRP
3.38461538461538,1.79047619047619,45,CRP
3.15384615384615,1.63809523809524,46,CRP
3.46153846153846,1.72454212454212,46,CRP
3.30769230769231,1.78461538461538,38,CRP
3.23076923076923,1.75970695970696,42,CRP
3.23076923076923,1.77435897435897,35,CRP
3.07692307692308,1.90769230769231,34,CRP
3.38461538461538,1.82124542124542,34,CRP
3.38461538461538,1.84175824175824,36,CRP
3.69230769230769,1.94432234432234,35,CRP
3.61538461538462,1.89304029304029,35,CRP
3.76923076923077,2.13333333333333,28,CRP
3.53846153846154,2.09230769230769,24,CRP
3.46153846153846,1.74065934065934,45,CRP
3.15384615384615,1.66153846153846,42,CRP
3.15384615384615,1.88864468864469,34,CRP
3.46153846153846,2.20659340659341,34,CRP
3.15384615384615,1.79047619047619,39,CRP
3.23076923076923,1.96483516483516,34,CRP
3.15384615384615,1.75970695970696,38,CRP
3.46153846153846,1.82564102564103,35,CRP
3.53846153846154,1.9032967032967,37,CRP
3.23076923076923,1.75970695970696,41,CRP
2.84615384615385,1.60586080586081,43,CRP
3.15384615384615,1.91501831501832,39,CRP
3.46153846153846,1.97509157509158,33,CRP
2.84615384615385,1.48717948717949,49,CRP
3.61538461538462,2.01611721611722,36,CRP
3.46153846153846,1.88717948717949,34,CRP
3.30769230769231,1.6974358974359,46,CRP
3.38461538461538,1.86666666666667,38,CRP
3.23076923076923,2.06153846153846,23,CRP
3.38461538461538,1.82564102564103,36,CRP
4,2.21538461538462,27,CRP
3.07692307692308,1.73919413919414,42,CRP
3.46153846153846,1.7948717948718,38,CRP
3.23076923076923,1.9032967032967,37,CRP
3.30769230769231,1.77582417582418,39,CRP
3.15384615384615,1.81684981684982,39,CRP
3.07692307692308,1.74505494505495,37,CRP
3.61538461538462,1.82124542124542,39,CRP
3.46153846153846,1.83589743589744,33,CRP
2.84615384615385,1.67326007326007,44,CRP
3.15384615384615,1.68937728937729,46,CRP
2.84615384615385,1.78021978021978,39,CRP
3.38461538461538,1.83589743589744,40,CRP
2.76923076923077,1.68791208791209,38,CRP
2.92307692307692,1.63150183150183,47,CRP
3,1.51501831501832,54,CRP
3.15384615384615,1.72307692307692,35,CRP
3.23076923076923,1.95897435897436,29,CRP
3.38461538461538,1.78461538461538,36,CRP
3.84615384615385,1.88278388278388,41,CRP
3.23076923076923,1.74358974358974,37,CRP
3.30769230769231,1.87838827838828,34,CRP
3.30769230769231,1.76410256410256,36,CRP
3.07692307692308,1.66739926739927,41,CRP
3.38461538461538,1.87179487179487,39,CRP
3.30769230769231,2.22637362637363,37,CRP
3.84615384615385,1.87252747252747,40,CRP
2.76923076923077,1.54432234432234,44,CRP
3.92307692307692,2.54505494505495,35,CRP
3.46153846153846,1.78461538461538,41,CRP
3.38461538461538,1.85201465201465,44,CRP
2.76923076923077,1.54505494505495,51,CRP
2.61538461538462,1.48424908424908,48,CRP
3.07692307692308,1.68717948717949,44,CRP
3.69230769230769,2.16483516483516,38,CRP
2.92307692307692,1.71355311355311,45,CRP
3.53846153846154,1.89450549450549,41,CRP
2.84615384615385,1.53992673992674,48,CRP
3.07692307692308,1.78608058608059,37,CRP
2.92307692307692,1.72307692307692,35,CRP
3.30769230769231,1.82564102564103,36,CRP
3.15384615384615,1.73333333333333,39,CRP
3.38461538461538,1.94871794871795,33,CRP
4.30769230769231,2.60512820512821,27,CRP
3.07692307692308,1.86739926739927,36,CRP
3.23076923076923,1.85714285714286,40,CRP
3.30769230769231,1.97509157509158,32,CRP
3.61538461538462,1.98974358974359,31,CRP
2.92307692307692,1.75970695970696,35,CRP
3.07692307692308,1.72014652014652,43,CRP
3.69230769230769,2.04249084249084,33,CRP
3.61538461538462,2.01025641025641,34,CRP
3.84615384615385,2.26813186813187,37,CRP
2.76923076923077,1.80659340659341,39,CRP
3.07692307692308,1.74358974358974,38,CRP
3.53846153846154,1.98534798534799,35,CRP
3.15384615384615,1.81098901098901,38,CRP
3,1.58534798534799,45,CRP
3,1.64688644688645,40,CRP
3.23076923076923,1.62051282051282,46,CRP
3.61538461538462,2.23150183150183,35,CRP
3.46153846153846,1.76410256410256,38,CRP
3.30769230769231,1.91794871794872,31,CRP
2.76923076923077,1.54432234432234,44,CRP
3.46153846153846,1.81025641025641,48,CRP
3.53846153846154,1.95018315018315,35,CRP
3.30769230769231,2.03076923076923,34,CRP
3.07692307692308,1.84615384615385,30,CRP
2.76923076923077,1.62637362637363,40,CRP
3.61538461538462,2.17435897435897,36,CRP
3,1.67326007326007,45,CRP
3.61538461538462,1.92820512820513,30,CRP
3.15384615384615,1.87179487179487,41,CRP
3.69230769230769,1.87692307692308,38,CRP
3.30769230769231,1.82124542124542,37,CRP
3.30769230769231,1.58534798534799,48,CRP
4,2.22564102564103,28,CRP
3.15384615384615,1.80659340659341,42,CRP
3.30769230769231,1.96483516483516,39,CRP
3.76923076923077,1.86666666666667,38,CRP
3.38461538461538,1.7025641025641,44,CRP
3.15384615384615,1.88717948717949,36,CRP
3.30769230769231,1.82124542124542,40,CRP
3.23076923076923,1.82124542124542,37,CRP
3.15384615384615,1.76483516483516,45,CRP
2.92307692307692,1.59120879120879,45,CRP
2.84615384615385,1.76410256410256,35,CRP
3.46153846153846,1.80512820512821,41,CRP
3.30769230769231,1.83150183150183,34,CRP
3.38461538461538,1.87252747252747,39,CRP
3.46153846153846,1.88717948717949,37,CRP
3.30769230769231,1.68205128205128,40,CRP
3.07692307692308,1.81684981684982,37,CRP
3.30769230769231,1.87692307692308,42,CRP
3.69230769230769,1.92820512820513,35,CRP
3.15384615384615,1.67326007326007,46,CRP
3.38461538461538,1.89304029304029,38,CRP
3.23076923076923,1.75018315018315,43,CRP
3.07692307692308,1.73333333333333,34,CRP
3.07692307692308,1.71868131868132,39,CRP
3.15384615384615,1.66227106227106,52,CRP
3.30769230769231,1.98974358974359,27,CRP
3.23076923076923,1.92967032967033,33,CRP
2.92307692307692,1.67912087912088,46,CRP
3.46153846153846,1.92380952380952,40,CRP
3.15384615384615,1.94945054945055,32,CRP
3.30769230769231,1.72893772893773,47,CRP
2.92307692307692,1.71794871794872,38,CRP
3,1.78095238095238,41,CRP
3.38461538461538,1.84175824175824,35,CRP
3.38461538461538,1.82710622710623,37,CRP
3.23076923076923,1.82710622710623,38,CRP
2.76923076923077,1.71428571428571,43,CRP
3.23076923076923,1.98974358974359,31,CRP
2.92307692307692,1.75970695970696,35,CRP
2.84615384615385,1.52454212454212,50,CRP
3.46153846153846,2.21098901098901,25,CRP
3.46153846153846,1.86227106227106,37,CRP
4,2.02637362637363,34,CRP
3.30769230769231,1.78461538461538,34,CRP
3.30769230769231,1.75531135531136,43,CRP
3.84615384615385,2.04688644688645,34,CRP
3.69230769230769,2.01025641025641,35,CRP
3.53846153846154,1.77582417582418,40,CRP
3.38461538461538,1.89230769230769,41,CRP
3.69230769230769,1.67765567765568,48,CRP
3.30769230769231,1.8974358974359,28,CRP
3.07692307692308,1.91355311355311,34,CRP
3.92307692307692,2.16410256410256,26,CRP
3.53846153846154,1.78608058608059,44,CRP
3,1.91282051282051,35,CRP
3.07692307692308,1.75384615384615,36,CRP
3.46153846153846,1.80512820512821,39,CRP
3.23076923076923,1.82124542124542,37,CRP
3.76923076923077,2.05714285714286,34,CRP
3.30769230769231,2.03076923076923,27,CRP
2.76923076923077,1.58534798534799,44,CRP
3.07692307692308,1.7025641025641,38,CRP
3.07692307692308,1.80512820512821,37,CRP
3.38461538461538,1.87692307692308,36,CRP
3.07692307692308,1.75970695970696,35,CRP
3.46153846153846,1.77582417582418,45,CRP
3,1.75970695970696,37,CRP
3.76923076923077,2.20512820512821,25,CRP
3.38461538461538,1.81098901098901,39,CRP
3.23076923076923,1.85641025641026,35,CRP
3.38461538461538,2.06153846153846,29,CRP
3.30769230769231,1.96483516483516,35,CRP
3.76923076923077,2.13479853479853,47,CRP
3.30769230769231,1.75970695970696,45,CRP
3.07692307692308,2.07765567765568,39,CRP
3.30769230769231,2.0014652014652,31,CRP
3.07692307692308,1.72893772893773,38,CRP
3.23076923076923,1.64249084249084,46,CRP
2.92307692307692,1.67765567765568,39,CRP
3.30769230769231,1.78461538461538,38,CRP
3.30769230769231,1.98095238095238,36,CRP
3.30769230769231,1.75018315018315,48,CRP
4,2.11868131868132,37,CRP
2.84615384615385,1.58021978021978,49,CRP
3.07692307692308,1.97069597069597,37,CRP
3.15384615384615,1.82124542124542,34,CRP
3,1.63076923076923,40,CRP
3.76923076923077,2.07179487179487,31,CRP
3.38461538461538,1.86227106227106,38,CRP
3.15384615384615,1.61172161172161,47,CRP
3.53846153846154,1.81098901098901,41,CRP
3.61538461538462,2.27252747252747,35,CRP
