Experiment_ID,Choice_1,Choice_0,Feed_Date,Trial_Date,Food_Deprivation_Length,Animal,Arena_Position,Choice,Acclimation,area_chosen,area_other,berghia_length,track_intersection,path_sense_beh,radius_chosen,radius_other,rel_radius_chosen,rel_radius_other,rel_size_diff,size_diff,latency_2_choose
SG062921 Intact_vs_Slime Trail,Slime_Trail,Intact,6/22/2021,6/29/2021,7,7,A1,0,asw+anemone,0.06,0.042,0.619,0,,0.13819766,0.115624458,0.223259547,0.186792339,0.036467209,0.022573202,60
SG062921 Intact_vs_Slime Trail,Slime_Trail,Intact,6/22/2021,6/29/2021,7,8,B1,0,asw+anemone,0.024,0.015,0.617,0,,0.087403874,0.06909883,0.14165944,0.111991621,0.029667819,0.018305045,60
SG062921 Intact_vs_Slime Trail,Slime_Trail,Intact,6/22/2021,6/29/2021,7,9,C1,0,asw+anemone,0.034,0.042,0.588,0,,0.104031419,0.115624458,0.176924182,0.196640234,-0.019716052,-0.011593039,300
SG062921 Intact_vs_Slime Trail,Slime_Trail,Intact,6/22/2021,6/29/2021,7,10,A2,1,asw+anemone,0.031,0.031,0.622,0,,0.099335827,0.099335827,0.159703901,0.159703901,0,0,60
SG070121 Intact_vs_Slime Trails,Slime_Trail,Intact,6/24/2021,7/1/2021,7,11,A1,0,asw+anemone,0.155,0.43,0.51,1,1,0.222121661,0.369963851,0.435532669,0.725419316,-0.289886647,-0.14784219,420
SG070121 Intact_vs_Slime Trails,Slime_Trail,Intact,6/24/2021,7/1/2021,7,12,B1,1,asw+anemone,0.123,0.044,0.543,1,0,0.197868936,0.118345405,0.364399515,0.21794734,0.146452175,0.079523531,120
SG070121 Intact_vs_Slime Trails,Slime_Trail,Intact,6/24/2021,7/1/2021,7,13,C1,0,asw+anemone,0.207,0.096,0.688,1,0,0.25669076,0.174807749,0.373097035,0.25408103,0.119016005,0.081883011,240
SG070121 Intact_vs_Slime Trails,Slime_Trail,Intact,6/24/2021,7/1/2021,7,14,A2,1,asw+anemone,0.094,0.085,0.487,1,1,0.172977251,0.164488116,0.355189427,0.337757939,0.017431488,0.008489135,120
SG070121 Intact_vs_Slime Trails,Slime_Trail,Intact,6/24/2021,7/1/2021,7,15,B2,0,asw+anemone,0.128,0.115,0.512,1,1,0.201850602,0.191325996,0.394239457,0.373683587,0.02055587,0.010524605,180
SG070121 Intact_vs_Slime Trails,Slime_Trail,Intact,6/24/2021,7/1/2021,7,16,C2,0,asw+anemone,0.123,0.112,0.41,0,,0.197868936,0.188813949,0.482607162,0.460521826,0.022085336,0.009054988,600
SG070621 Intact_vs_Slime Trail,Slime_Trail,Intact,6/29/2021,7/6/2021,7,17,A1,1,asw+anemone,0.156,0.139,0.63,0,,0.222837031,0.210345131,0.353709573,0.33388116,0.019828412,0.0124919,0
SG070621 Intact_vs_Slime Trail,Slime_Trail,Intact,6/29/2021,7/6/2021,7,18,B1,0,asw+anemone,0.089,0.121,0.713,0,,0.168313932,0.196253653,0.236064421,0.275250565,-0.039186143,-0.02793972,60
SG070621 Intact_vs_Slime Trail,Slime_Trail,Intact,6/29/2021,7/6/2021,7,19,C1,0,asw+anemone,0.222,0.116,0.58,0,,0.265828506,0.192156048,0.458325011,0.331303531,0.12702148,0.073672458,60
SG070621 Intact_vs_Slime Trail,Slime_Trail,Intact,6/29/2021,7/6/2021,7,21,B2,1,asw+anemone,0.181,0.137,0.797,0,0,0.240029351,0.208826374,0.301166062,0.262015526,0.039150536,0.031202977,120
SG070621 Intact_vs_Slime Trail,Slime_Trail,Intact,6/29/2021,7/6/2021,7,22,C2,1,asw+anemone,0.223,0.045,0.572,1,1,0.266426546,0.119682684,0.465780675,0.209235462,0.256545214,0.146743862,180
K8030521_intactvfeed,Feeding_Conspecific,Intact,2/26/2021,3/5/2021,7,1,A1,0,asw,0.166,0.113,0.569,,,0.229868313,0.189654995,0.40398649,0.333312821,0.070673669,0.040213318,312
K8030521_intactvfeed,Feeding_Conspecific,Intact,2/26/2021,3/5/2021,7,2,B1,0,asw,0.068,0.1,0.616,,,0.147122644,0.178412412,0.23883546,0.289630538,-0.050795078,-0.031289768,292
K8030521_intactvfeed,Feeding_Conspecific,Intact,2/26/2021,3/5/2021,7,3,C1,0,asw,0.202,0.153,0.481,,,0.25357168,0.220683965,0.52717605,0.458802423,0.068373627,0.032887715,425
K8030521_intactvfeed,Feeding_Conspecific,Intact,2/26/2021,3/5/2021,7,4,A2,0,asw,0.169,0.132,0.646,,,0.231936135,0.204980255,0.359034265,0.317306896,0.041727368,0.02695588,234
K8030521_intactvfeed,Feeding_Conspecific,Intact,2/26/2021,3/5/2021,7,5,A1,0,asw,0.366,0.099,0.544,,,0.341323041,0.177518108,0.627432061,0.326320052,0.301112009,0.163804933,229
K8030521_intactvfeed,Feeding_Conspecific,Intact,2/26/2021,3/5/2021,7,6,B1,1,asw,0.114,0.108,0.479,,,0.190492328,0.185411617,0.397687532,0.38708062,0.010606912,0.005080711,276
K8030521_intactvfeed,Feeding_Conspecific,Intact,2/26/2021,3/5/2021,7,7,C1,0,asw,0.103,0.287,0.415,,,0.181068822,0.302249793,0.436310414,0.728312754,-0.29200234,-0.121180971,2012
K8030521_intactvfeed,Feeding_Conspecific,Intact,2/26/2021,3/5/2021,7,8,A2,0,asw,0.286,0.213,0.431,,,0.301722766,0.260384342,0.700052821,0.604140006,0.095912816,0.041338423,286
K8030521_intactvfeed,Feeding_Conspecific,Intact,2/26/2021,3/5/2021,7,10,C2,0,asw,0.067,0.061,0.392,,,0.146036853,0.139344548,0.372542992,0.355470786,0.017072206,0.006692305,447
K8030521_intactvfeed,Feeding_Conspecific,Intact,2/26/2021,3/5/2021,7,11,A1,1,asw,0.106,0.082,0.332,,,0.18368682,0.16155931,0.553273555,0.486624428,0.066649127,0.02212751,187
SG032621Intact_vs_feeding,Feeding_Conspecific,Intact,3/19/2021,3/26/2021,7,12,A1,0,asw,0.19,0.095,0.634,,,0.245924538,0.173894908,0.387893593,0.27428219,0.113611403,0.07202963,248
SG032621Intact_vs_feeding,Feeding_Conspecific,Intact,3/19/2021,3/26/2021,7,13,B1,0,asw,0.137,0.187,0.674,,,0.208826374,0.243975303,0.309831415,0.361981162,-0.052149747,-0.03514893,133
SG032621Intact_vs_feeding,Feeding_Conspecific,Intact,3/19/2021,3/26/2021,7,14,C1,0,asw,0.129,0.04,0.596,,,0.202637547,0.112837917,0.339995884,0.189325364,0.15067052,0.08979963,148
SG032621Intact_vs_feeding,Feeding_Conspecific,Intact,3/19/2021,3/26/2021,7,15,A2,1,asw,0.095,0.081,0.63,,,0.173894908,0.16057117,0.276023664,0.254874874,0.02114879,0.013323738,267
SG032621Intact_vs_feeding,Feeding_Conspecific,Intact,3/19/2021,3/26/2021,7,16,B2,0,asw,0.083,0.233,0.472,,,0.162541443,0.272334727,0.344367463,0.576980354,-0.232612891,-0.109793284,659
SG050721Intact_vs_feeding,Feeding_Conspecific,Intact,4/30/2021,5/7/2021,7,6,A1,1,asw,0.222,0.423,0.587,,,0.265828506,0.366940161,0.452859465,0.625111007,-0.172251542,-0.101111655,433
SG050721Intact_vs_feeding,Feeding_Conspecific,Intact,4/30/2021,5/7/2021,7,7,B1,0,asw,0.224,0.262,0.757,,,0.267023247,0.288785717,0.352738768,0.381487076,-0.028748309,-0.02176247,351
SG050721Intact_vs_feeding,Feeding_Conspecific,Intact,4/30/2021,5/7/2021,7,8,C1,1,asw,0.132,0.365,0.804,,,0.204980255,0.340856434,0.254950566,0.423950788,-0.169000222,-0.135876179,323
SG050721Intact_vs_feeding,Feeding_Conspecific,Intact,4/30/2021,5/7/2021,7,9,A2,0,asw,0.485,0.099,0.663,,,0.392912579,0.177518108,0.592628324,0.267749786,0.324878538,0.215394471,573
SG050721Intact_vs_feeding,Feeding_Conspecific,Intact,4/30/2021,5/7/2021,7,10,B2,0,asw,0.27,0.093,0.573,,,0.293161507,0.172054699,0.511625667,0.300269981,0.211355686,0.121106808,2845
SG050721Intact_vs_feeding,Feeding_Conspecific,Intact,4/30/2021,5/7/2021,7,11,C2,0,asw,0.564,0.134,0.657,,,0.423706002,0.206527298,0.6449102,0.314349007,0.330561193,0.217178704,273
SG050721Intact_vs_feeding,Feeding_Conspecific,Intact,4/30/2021,5/7/2021,7,12,A1,0,asw,0.296,0.056,0.709,,,0.306952319,0.133511624,0.432936981,0.188309765,0.244627215,0.173440696,2520
SG050721Intact_vs_feeding,Feeding_Conspecific,Intact,4/30/2021,5/7/2021,7,14,C1,0,asw,0.397,0.099,0.807,,,0.355484212,0.177518108,0.440500882,0.219972873,0.220528009,0.177966104,708
SG050721Intact_vs_feeding,Feeding_Conspecific,Intact,4/30/2021,5/7/2021,7,15,A2,1,asw,0.063,0.071,0.863,,,0.141610462,0.15033297,0.164090917,0.174198111,-0.010107194,-0.008722509,180
SG062221 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/15/2021,6/22/2021,7,1,A1,1,asw+anemone,0.126,0.209,0.633,,,0.200267435,0.257927831,0.316378255,0.407468928,-0.091090673,-0.057660396,720
SG062221 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/15/2021,6/22/2021,7,2,B1,1,asw+anemone,0.049,0.104,0.643,,,0.124888688,0.181945674,0.194228131,0.282963723,-0.088735592,-0.057056986,540
SG062221 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/15/2021,6/22/2021,7,3,C1,0,asw+anemone,0.196,0.056,0.747,,,0.249777376,0.133511624,0.334373998,0.17873042,0.155643578,0.116265753,180
SG062221 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/15/2021,6/22/2021,7,4,A2,0,asw+anemone,0.078,0.126,0.727,,,0.157569575,0.200267435,0.216739444,0.275471025,-0.058731582,-0.04269786,540
SG062221 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/15/2021,6/22/2021,7,5,B2,1,asw+anemone,0.111,0.102,0.851,,,0.187969139,0.180187703,0.220880305,0.211736432,0.009143873,0.007781436,660
SG062221 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/15/2021,6/22/2021,7,6,C2,0,asw+anemone,0.125,0.145,0.698,,,0.19947114,0.214836993,0.285775272,0.307789388,-0.022014116,-0.015365853,300
SG062421_Intact vs Feeding,Feeding_Conspecific,Intact,6/17/2021,6/24/2021,7,7,A1,1,asw+anemone,0.06,0.166,0.647,,,0.13819766,0.229868313,0.213597619,0.355283327,-0.141685707,-0.091670653,180
SG062421_Intact vs Feeding,Feeding_Conspecific,Intact,6/17/2021,6/24/2021,7,8,B1,1,asw+anemone,0.108,0.036,0.626,,,0.185411617,0.107047447,0.296184692,0.171002311,0.12518238,0.07836417,180
SG062421_Intact vs Feeding,Feeding_Conspecific,Intact,6/17/2021,6/24/2021,7,9,C1,0,asw+anemone,0.028,0.106,0.765,,,0.094406974,0.18368682,0.12340781,0.240113491,-0.116705681,-0.089279846,300
SG062421_Intact vs Feeding,Feeding_Conspecific,Intact,6/17/2021,6/24/2021,7,10,A2,1,asw+anemone,0.086,0.141,0.535,,,0.165452864,0.211853001,0.30925769,0.395986917,-0.086729228,-0.046400137,240
SG062421_Intact vs Feeding,Feeding_Conspecific,Intact,6/17/2021,6/24/2021,7,11,B2,1,asw+anemone,0.044,0.101,0.631,,,0.118345405,0.179302255,0.187552148,0.284155713,-0.096603564,-0.060956849,240
SG062421_Intact vs Feeding,Feeding_Conspecific,Intact,6/17/2021,6/24/2021,7,12,C2,0,asw+anemone,0.088,0.225,0.781,,,0.167365677,0.267618617,0.214296642,0.342661482,-0.12836484,-0.10025294,180
SG062921 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/22/2021,6/29/2021,7,13,A1,1,asw+anemone,0.081,0.31,0.692,,,0.16057117,0.314127466,0.232039264,0.453941424,-0.221902161,-0.153556295,60
SG062921 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/22/2021,6/29/2021,7,14,B1,0,asw+anemone,0.17,0.076,0.948,,,0.232621325,0.155536335,0.245381144,0.164067863,0.081313281,0.07708499,60
SG062921 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/22/2021,6/29/2021,7,15,C1,0,asw+anemone,0.137,0.097,0.686,,,0.208826374,0.175715847,0.304411624,0.25614555,0.048266074,0.033110527,180
SG062921 Intact_vs_Feeding,Feeding_Conspecific,Intact,6/22/2021,6/29/2021,7,16,A2,0,asw+anemone,0.091,0.102,0.764,,,0.170194593,0.180187703,0.222767792,0.235847779,-0.013079987,-0.00999311,60
