Experiment_ID,Choice,Choice_1,Food_Deprivation_Length,Acclimation,latency_2_choose
SG040921Intact_vs_injured,1,Bisected_Anemone,7,asw,120
SG040921Intact_vs_injured,0,Bisected_Anemone,7,asw,60
SG040921Intact_vs_injured,0,Bisected_Anemone,7,asw,120
SG040921Intact_vs_injured,1,Bisected_Anemone,7,asw,60
SG040921Intact_vs_injured,1,Bisected_Anemone,7,asw,540
SG040921Intact_vs_injured,1,Bisected_Anemone,7,asw,60
SG040921Intact_vs_injured,0,Bisected_Anemone,7,asw,420
SG040921Intact_vs_injured,1,Bisected_Anemone,7,asw,120
SG040921Intact_vs_injured,0,Bisected_Anemone,7,asw,180
SG040921Intact_vs_injured,0,Bisected_Anemone,7,asw,180
SG040921Intact_vs_injured,0,Bisected_Anemone,7,asw,60
SG040921Intact_vs_injured,1,Bisected_Anemone,7,asw,600
SG062421_Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,60
SG062421_Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,60
SG062421_Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,120
SG062421_Intact_vs_Injured,1,Munched_Anemone,7,asw+anemone,120
SG062421_Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,60
SG062421_Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,120
SG062421_Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,60
SG062421_Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,120
SG062421_Intact_vs_Injured,1,Munched_Anemone,7,asw+anemone,60
SG062421_Intact_vs_Injured,1,Munched_Anemone,7,asw+anemone,120
SG062421_Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,60
SG062421_Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,120
SG062921 Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,120
SG062921 Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,60
SG062921 Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,60
SG062921 Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,420
SG062921 Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,120
SG062921 Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,120
SG070121 Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,60
SG070121 Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,180
SG070121 Intact_vs_Injured,1,Munched_Anemone,7,asw+anemone,60
SG070121 Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,60
SG070121 Intact_vs_Injured,1,Munched_Anemone,7,asw+anemone,120
SG070121 Intact_vs_Injured,1,Munched_Anemone,7,asw+anemone,180
SG070621 Intact_vs_Injured,1,Munched_Anemone,7,asw+anemone,0
SG070621 Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,60
SG070621 Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,60
SG070621 Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,60
SG070621 Intact_vs_Injured,0,Munched_Anemone,7,asw+anemone,1020
SG070621 Intact_vs_Injured,1,Munched_Anemone,7,asw+anemone,120
SG100521_Injuredslimetrail_vs_Intact,0,Munched_Anemone+Slime_Trail,7,asw+anemone,240
SG100521_Injuredslimetrail_vs_Intact,0,Munched_Anemone+Slime_Trail,7,asw+anemone,360
SG100521_Injuredslimetrail_vs_Intact,1,Munched_Anemone+Slime_Trail,7,asw+anemone,180
SG100521_Injuredslimetrail_vs_Intact,1,Munched_Anemone+Slime_Trail,7,asw+anemone,360
SG100521_Injuredslimetrail_vs_Intact,1,Munched_Anemone+Slime_Trail,7,asw+anemone,960
SG100521_Injuredslimetrail_vs_Intact,0,Munched_Anemone+Slime_Trail,7,asw+anemone,420
